 smile id
0 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37504
1 OCC1CN(C2=NC(NCCC3=CNC4=C3C=C(Br)C=C4)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37611
2 CN(CC1=CC(Cl)=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37506
3 OCC1CN(C2=NC(NCCC3=CNC4=C3C=C(OCC3=CC=CC=C3)C=C4)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37613
4 CN(CCC(O)C1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37527
5 CC1=CC2=C(NC=C2CCNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=C1 L37471
6 OCC1CN(C2=NC(=NC(NC3(CCSCC3)C(O)=O)=N2)N2CCC(O)(CC2)C2=CC=C(Cl)C=C2)C2=CC=CC=C2O1 L37631
7 N[C@H]([C@@H](NC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12)C1=CC=CC=C1)C1=CC=CC=C1 L37629
8 OCC1CN(C2=NC(NCC3=CC(Br)=CC=C3F)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37578
9 CN(CC1=CC=CC=C1Cl)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37508
10 OCC1CN(C2=NC(NCCC3=CNC4=C3C=C(Cl)C=C4)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37612
11 CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2 L51078
12 COC1=CC2=C(NC=C2CCNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=C1 L37531
13 OCC1CN(C2=NC(=NC(NC3(CCSCC3)C(O)=O)=N2)N2CCC(CC2)C2=NOC3=C2C=C(F)C=C3)C2=CC=CC=C2O1 L37446
14 CN(CC1=CC=C(Cl)C=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37507
15 CCN(CC1=CC(C)=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L53079
16 CCN(CC1=CC=C(C)C=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2 L38022
17 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(=NC(NC2=CC(Cl)=C(Cl)C=C2N)=N1)N1CCC(CCCC(O)=O)CC1 L25024
18 CCN(CC1=CC(C)=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2 L52998
19 COC1=CC=CC=C1CN(C)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37511
20 CN(C)CCN(CC1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37526
21 COC1=CC=CC(CN(C)C2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)=C1 L37510
22 CCN(CCN(C)C)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37496
23 CN(CC1=CC=CC(=C1)C(F)(F)F)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L53248
24 CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L51136
25 OC(=O)C1(CCSCC1)NC1=NC(=NC(=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2)N(CC1=CC=CC=C1)CC1=CC=CC=C1 L52806
26 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(CC=C)C1CCCC1 L48256
27 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(CC1=CC=CC=C1)CC1=CC=CC=C1 L52864
28 CC(NC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12)C(O)C1=CC=CC=C1 L37497
29 OCC1CN(C2=NC(NCCC3=CNC4=C3C=C(Br)C=C4)=NC(=N2)N2CCC(CCCC(O)=O)CC2)C2=CC=CC=C2O1 L747
30 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(CC=C)C1CCCCC1 L48448
31 CCN(CC1=CC(C)=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L53056
32 CN(C)CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L55360
33 CN(C)CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2 L55302
34 CC1=C(C)C(CNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)=CC=C1 L37479
35 CN(CC1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37505
36 CCCCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L47319
37 CCCCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L47296
38 CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L51159
39 CN(C)CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2=CC(Cl)=C(Cl)C=C2N)=N1)N1CCC(CCCC(O)=O)CC1 L25046
40 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CCN(CC1)C1=CC=CC=C1C L43072
